,date,positive,neutral,negative,news_count,finbert_sentiment,avg_sentiment,fear_greed_index,fear_greed_label
358,2019-01-28,,,,,,,35,Fear
359,2019-01-29,,,,,,,21,Extreme Fear
360,2019-01-30,,,,,,,22,Extreme Fear
361,2019-01-31,,,,,,,17,Extreme Fear
362,2019-02-01,,,,,,,23,Extreme Fear
363,2019-02-02,,,,,,,22,Extreme Fear
364,2019-02-03,,,,,,,19,Extreme Fear
365,2019-02-04,,,,,,,27,Fear
366,2019-02-05,,,,,,,21,Extreme Fear
367,2019-02-06,,,,,,,14,Extreme Fear
368,2019-02-07,,,,,,,18,Extreme Fear
369,2019-02-08,,,,,,,37,Fear
370,2019-02-09,,,,,,,42,Fear
371,2019-02-10,,,,,,,40,Fear
372,2019-02-11,,,,,,,46,Fear
373,2019-02-12,,,,,,,38,Fear
374,2019-02-13,,,,,,,48,Neutral
375,2019-02-14,,,,,,,48,Neutral
376,2019-02-15,,,,,,,43,Fear
377,2019-02-16,,,,,,,43,Fear
378,2019-02-17,,,,,,,38,Fear
379,2019-02-18,,,,,,,63,Greed
380,2019-02-19,,,,,,,65,Greed
381,2019-02-20,,,,,,,59,Greed
382,2019-02-21,,,,,,,59,Greed
383,2019-02-22,,,,,,,61,Greed
384,2019-02-23,,,,,,,63,Greed
385,2019-02-24,,,,,,,69,Greed
386,2019-02-25,,,,,,,47,Neutral
387,2019-02-26,,,,,,,40,Fear
388,2019-02-27,,,,,,,39,Fear
389,2019-02-28,,,,,,,39,Fear
390,2019-03-01,,,,,,,42,Fear
391,2019-03-02,,,,,,,41,Fear
392,2019-03-03,,,,,,,44,Fear
393,2019-03-04,,,,,,,36,Fear
394,2019-03-05,,,,,,,35,Fear
395,2019-03-06,,,,,,,42,Fear
396,2019-03-07,,,,,,,56,Greed
397,2019-03-08,,,,,,,54,Neutral
398,2019-03-09,,,,,,,55,Greed
399,2019-03-10,,,,,,,55,Greed
400,2019-03-11,,,,,,,56,Greed
401,2019-03-12,,,,,,,56,Greed
402,2019-03-13,,,,,,,54,Neutral
403,2019-03-14,,,,,,,55,Greed
404,2019-03-15,,,,,,,55,Greed
405,2019-03-16,,,,,,,54,Neutral
406,2019-03-17,,,,,,,58,Greed
407,2019-03-18,,,,,,,56,Greed
408,2019-03-19,,,,,,,56,Greed
409,2019-03-20,,,,,,,55,Greed
410,2019-03-21,,,,,,,62,Greed
411,2019-03-22,,,,,,,56,Greed
412,2019-03-23,,,,,,,50,Neutral
413,2019-03-24,,,,,,,44,Fear
414,2019-03-25,,,,,,,46,Fear
415,2019-03-26,,,,,,,43,Fear
416,2019-03-27,,,,,,,44,Fear
417,2019-03-28,,,,,,,49,Neutral
418,2019-03-29,,,,,,,50,Neutral
419,2019-03-30,,,,,,,57,Greed
420,2019-03-31,,,,,,,56,Greed
421,2019-04-01,,,,,,,62,Greed
422,2019-04-02,,,,,,,60,Greed
423,2019-04-03,,,,,,,71,Greed
424,2019-04-04,,,,,,,61,Greed
425,2019-04-05,,,,,,,59,Greed
426,2019-04-06,,,,,,,65,Greed
427,2019-04-07,,,,,,,69,Greed
428,2019-04-08,,,,,,,65,Greed
429,2019-04-09,,,,,,,64,Greed
430,2019-04-10,,,,,,,62,Greed
431,2019-04-11,,,,,,,65,Greed
432,2019-04-12,,,,,,,42,Fear
433,2019-04-13,,,,,,,62,Greed
434,2019-04-14,,,,,,,51,Neutral
435,2019-04-15,,,,,,,60,Greed
436,2019-04-16,,,,,,,50,Neutral
437,2019-04-17,,,,,,,61,Greed
438,2019-04-18,,,,,,,64,Greed
439,2019-04-19,,,,,,,61,Greed
440,2019-04-20,,,,,,,62,Greed
441,2019-04-21,,,,,,,62,Greed
442,2019-04-22,,,,,,,61,Greed
443,2019-04-23,,,,,,,68,Greed
444,2019-04-24,,,,,,,65,Greed
445,2019-04-25,,,,,,,58,Greed
446,2019-04-26,,,,,,,41,Fear
447,2019-04-27,,,,,,,42,Fear
448,2019-04-28,,,,,,,40,Fear
449,2019-04-29,,,,,,,42,Fear
450,2019-04-30,,,,,,,42,Fear
451,2019-05-01,,,,,,,51,Neutral
452,2019-05-02,,,,,,,50,Neutral
453,2019-05-03,,,,,,,63,Greed
454,2019-05-04,,,,,,,66,Greed
455,2019-05-05,,,,,,,67,Greed
456,2019-05-06,,,,,,,57,Greed
457,2019-05-07,,,,,,,69,Greed
458,2019-05-08,,,,,,,63,Greed
459,2019-05-09,,,,,,,69,Greed
460,2019-05-10,,,,,,,71,Greed
461,2019-05-11,,,,,,,76,Extreme Greed
462,2019-05-12,,,,,,,75,Greed
463,2019-05-13,,,,,,,78,Extreme Greed
464,2019-05-14,,,,,,,78,Extreme Greed
465,2019-05-15,,,,,,,77,Extreme Greed
466,2019-05-16,,,,,,,75,Greed
467,2019-05-17,,,,,,,65,Greed
468,2019-05-18,,,,,,,67,Greed
469,2019-05-19,,,,,,,70,Greed
470,2019-05-20,,,,,,,73,Greed
471,2019-05-21,,,,,,,68,Greed
472,2019-05-22,,,,,,,69,Greed
473,2019-05-23,,,,,,,65,Greed
474,2019-05-24,,,,,,,64,Greed
475,2019-05-25,,,,,,,69,Greed
476,2019-05-26,,,,,,,67,Greed
477,2019-05-27,,,,,,,70,Greed
478,2019-05-28,,,,,,,71,Greed
479,2019-05-29,,,,,,,71,Greed
480,2019-05-30,,,,,,,73,Greed
481,2019-05-31,,,,,,,61,Greed
482,2019-06-01,,,,,,,62,Greed
483,2019-06-02,,,,,,,63,Greed
484,2019-06-03,,,,,,,66,Greed
485,2019-06-04,,,,,,,42,Fear
486,2019-06-05,,,,,,,27,Fear
487,2019-06-06,,,,,,,34,Fear
488,2019-06-07,,,,,,,27,Fear
489,2019-06-08,,,,,,,62,Greed
490,2019-06-09,,,,,,,62,Greed
491,2019-06-10,,,,,,,46,Fear
492,2019-06-11,,,,,,,61,Greed
493,2019-06-12,,,,,,,60,Greed
