date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,sma_golden_cross,sma_death_cross,sma_cross_signal,ema_golden_cross,ema_death_cross,ema_cross_signal,rsi_14,rsi_signal,rsi_crossover,std_20,upper_band_20,lower_band_20,daily_return,cumulative_return,volatility_14,vol_category,macd,macd_signal,macd_histogram,high_low_spread,high_low_percent,fear_greed_index,fear_greed_label,open_interest,high_oi,low_oi,close_oi,open_rate,high_rate,low_rate,close_rate,long_liq,short_liq,long_ratio,short_ratio
2023-10-19,28258.0,28916.0,28138.0,28780.0,1519.85954331,27573.55,27563.439485457107,26782.98,27292.45803658989,27729.26,27406.80849033627,28003.045,27060.90886553141,False,False,0,False,False,0,64.65536723163842,Neutral,False,635.9998738006032,29471.43910685892,25655.439864055297,0.0184366042676669,5946.280991735552,1.801051775724977,Normal,277.7887550233864,163.80991740381506,113.97883761957128,778.0,2.7649442035681284,52.0,Neutral,2480828466.8026004,2729077543.1458,2478830244.2618,2695169773.9531,-0.001028,-0.000624,-0.011006,-0.011006,61.831,181.5639999999999,25.403562110971883,74.59643788902811
2023-10-20,28780.0,30233.0,28595.0,29581.0,2756.09400932,27701.05,27755.588105889765,26850.98,27382.20478025304,27722.29,27449.861787557333,28010.46,27085.98439920772,False,False,0,False,False,0,67.01117907614427,Neutral,False,764.1917281475312,30048.16329033236,25463.01292144717,0.0278318276580959,6111.776859504148,1.881588319237096,Normal,363.55008233378976,203.75795038981,159.79213194397977,1638.0,5.728274173806609,53.0,Neutral,2784824399.097,2902564037.49,2680080484.484,2682245242.443,-0.009272,0.002687,-0.009272,0.002687,87.13600000000027,149.70000000000027,36.791703963924434,63.20829603607557
2023-10-21,29578.0,30364.0,29483.0,30177.0,1023.04273228,27854.45,27986.198762471693,26942.08,27491.80459279213,27707.69,27503.864524437384,28020.34,27116.740773344955,False,False,0,False,False,0,71.85298038468864,Overbought,True,929.2035341599895,30773.809364951663,25198.588159991723,0.0201480680166323,6234.917355371917,1.914834224095081,Normal,464.8582667725168,255.97801366635136,208.88025310616544,881.0,2.988162670013228,63.0,Greed,2703585984.7946,2917415852.73,2679640516.7796,2881411477.217,-0.001585,0.005827,-0.001585,0.005827,61.400000000000006,80.52000000000007,43.26381059751971,56.736189402480285
2023-10-22,30164.0,30247.0,29678.0,29861.0,812.41316784,27948.75,28164.75126128392,27022.58,27584.714216604207,27705.08,27550.540474448524,28028.355,27144.046835301724,False,False,0,False,False,0,67.59393063583815,Neutral,False,1032.085924360869,31261.00903436652,25068.493488201304,-0.0104715511813633,6169.62809917357,1.961266847443781,Normal,533.3524731337602,311.45290555983314,221.89956757392707,569.0,1.9172450973785296,53.0,Neutral,2890238216.6615,2898300871.623,2781701888.6965003,2791052938.6575003,0.002567,0.003115,0.002567,0.003115,49.710999999999984,52.24199999999999,48.75874177316999,51.24125822683001
2023-10-23,29860.0,31448.0,29730.0,31379.0,3103.23522583,28154.35,28470.87018878068,27130.12,27733.50973752169,27715.47,27626.35155416241,28045.065,27186.18567276141,False,False,0,False,False,0,77.84519757288737,Overbought,True,1271.038335378071,32283.98519491489,24657.75518264647,0.0508355379926994,6483.264462809934,2.250837407345154,Normal,665.1482572069581,382.1919758892582,282.9562813176999,1718.0,5.778674739320552,53.0,Neutral,3079078304.434,3297665627.2460003,2929798210.102,2933677856.4500003,0.00825,0.00959,0.000648,0.000648,211.9690000000001,894.916999999997,19.15002990371192,80.84997009628809
2023-10-24,31378.0,35198.0,31341.0,33819.0,7028.0334983600005,28463.75,28980.215885087284,27288.78,27972.156414481626,27751.06,27748.97825606019,28074.545,27252.183825271248,False,False,0,False,False,0,85.69838619922092,Overbought,False,1785.8364949912807,34337.725370061125,23622.70640011344,0.0777590108034036,6987.396694214895,2.8347606885282963,High,896.5079113035063,485.0551629721078,411.4527483313985,3857.0,12.3065632877062,66.0,Greed,3010287156.591,3026126904.346,2812910668.5420003,2876541131.23,0.01,0.01,0.01,0.01,278.72999999999973,370.6219999999973,42.92433071739226,57.07566928260773
2023-10-25,33787.0,35138.0,33498.0,34758.0,2929.20433212,28827.5,29530.48103888849,27470.5,28238.26792763921,27799.63,27887.77076584117,28108.58,27326.86856332825,False,False,0,False,False,0,93.16294618785722,Overbought,False,2254.8714399111377,36295.09535862191,22765.86671915508,0.0277654572873236,7181.404958677705,2.611587935163233,High,1136.7878759995328,615.4017055775928,521.38617042194,1640.0,4.895814675503015,72.0,Greed,2928098639.8638,3049116668.9178,2870783772.6477,2893487853.2625,0.01,0.01,0.01,0.01,110.89700000000003,197.62899999999988,35.94413436793011,64.05586563206988
2023-10-26,34738.0,34847.0,33738.0,34068.0,2225.76317247,29132.5,29962.62570185149,27638.68,28466.88487165336,27843.12,28010.15154275521,28138.085,27393.9444980215,False,False,0,False,False,0,87.13061018658598,Overbought,False,2528.449275117596,37547.97352720428,22377.27787649871,-0.0198515449680649,7038.8429752066295,2.7633242987611006,High,1302.0433064346398,752.7300257490022,549.3132806856377,1109.0,3.287094670697729,71.0,Greed,2865014027.872,2942676364.47,2848031600.2980003,2895937025.318,0.01,0.01,0.01,0.01,195.412,126.56200000000037,60.691857106474366,39.30814289352563
2023-10-27,34035.0,34279.0,33407.0,33708.0,2087.31717635,29423.8,30319.32801596088,27795.12,28672.41879825519,27879.73,28122.980225076888,28160.635,27456.77092092676,False,False,0,False,False,0,83.97492408659026,Overbought,False,2706.156676523979,38437.798045532814,22200.85798638894,-0.0105671010919338,6964.462809917372,2.8401890891997854,High,1418.82648292448,885.9493171840977,532.8771657403822,872.0,2.610231388631125,70.0,Greed,2873740804.9263,2944181343.0528,2840414939.8479,2864269174.7727,0.01,0.01,0.01,0.01,89.315,62.161,58.963136074361614,41.03686392563839
2023-10-28,33707.0,34506.0,33684.0,34125.0,858.30889678,29734.4,30681.772966821747,27959.92,28886.245512049103,27923.46,28241.83210180804,28180.47,27523.121459026992,False,False,0,False,False,0,84.46048632218844,Overbought,False,2874.8612122108148,39306.35660345419,22057.189330189303,0.0123709505161979,7050.619834710761,2.818274277216912,High,1532.431966408676,1015.2458470290136,517.1861193796626,822.0,2.4403277520484505,65.0,Greed,2880578292.057,2954035153.6632,2870904242.2842,2887367558.7852,0.01,0.01,0.01,0.01,23.085,37.71100000000001,37.97124810842818,62.02875189157182
